route_id,service_id,trip_id,trip_headsign,direction_id
M1A,HERGUN,M1A_0_0600,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0607,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0614,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0621,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0628,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0635,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0642,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0649,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0656,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0703,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0710,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0717,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0724,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0731,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0738,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0745,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0752,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0759,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0806,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0813,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0820,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0827,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0834,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0841,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0848,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0855,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0902,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0909,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0916,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0923,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0930,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0937,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0944,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0951,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_0958,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_1005,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_1012,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_1019,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_1026,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_1033,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_1040,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_1047,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_1054,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_1101,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_1108,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_1115,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_1122,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_1129,Atatürk Havalimanı,0
M1A,HERGUN,M1A_0_1136,Atatürk Havalimanı,0
